"filename", "language", "Dart", "comment", "blank", "total"
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/question/query_service/question_create_query_service.dart", "Dart", 20, 0, 4, 24
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/question/query_service/question_create_query_service.g.dart", "Dart", 16, 7, 6, 29
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/question/query_service/search_for_questions_query_service_provider.dart", "Dart", 31, 0, 4, 35
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/question/query_service/search_for_questions_query_service_provider.g.dart", "Dart", 16, 7, 6, 29
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/question/repository/question_repository_provider.dart", "Dart", 17, 0, 4, 21
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/question/repository/question_repository_provider.g.dart", "Dart", 15, 7, 6, 28
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/question_detail/question_detail_query_service_provider.dart", "Dart", 21, 0, 4, 25
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/question_detail/question_detail_query_service_provider.g.dart", "Dart", 16, 7, 6, 29
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/report/question_report_repository_provider.dart", "Dart", 18, 0, 4, 22
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/report/question_report_repository_provider.g.dart", "Dart", 16, 7, 6, 29
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/report/teacher_report_repository_provider.dart", "Dart", 18, 0, 4, 22
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/report/teacher_report_repository_provider.g.dart", "Dart", 16, 7, 6, 29
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/school/school_repository_provider.dart", "Dart", 17, 0, 4, 21
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/school/school_repository_provider.g.dart", "Dart", 15, 7, 6, 28
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/session/session_provider.dart", "Dart", 34, 0, 7, 41
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/session/session_provider.g.dart", "Dart", 47, 10, 12, 69
